month,PfPR U5,Cases U5,Severe cases U5,Pop U5,PfPR_2to10,annualeir,year,x_Temporary_Larval_Habitat,Run_Number
1,0.05912873225649,1.036221224815,0.0,340.5,0.0804092608382,4.317070907937,2011,0.08365685956749984,0
2,0.1030042918455,1.673331975937,0.03560280799866,341.7333333333,0.1560306945629,9.388898495455,2011,0.08365685956749984,0
3,0.2,3.386417876929,0.0,348.5,0.3163504029114,20.85868710058,2011,0.08365685956749984,0
4,0.3142939150402,4.120742373168,0.06984309107065,348.4,0.461623090862,25.62685579727,2011,0.08365685956749984,0
5,0.4077688299384,4.806726634502,0.03458076715469,351.8333333333,0.5678398534607,23.90308225178,2011,0.08365685956749984,0
6,0.4298783363199,3.063755515963,0.03442421928048,353.4333333333,0.6083207162135,13.25724616852,2011,0.08365685956749984,0
7,0.3578996718237,1.608532544225,0.0,355.5,0.5198736509608,5.489966919522,2011,0.08365685956749984,0
8,0.2308265078183,0.8832836896181,0.0,358.1333333333,0.3735517379145,2.492618440169,2011,0.08365685956749984,0
9,0.1550509731233,0.5412418842316,0.0,359.6666666667,0.2589303733602,1.406661594971,2011,0.08365685956749984,0
10,0.08843855061636,0.3067799694836,0.0,356.9333333333,0.1456172462884,1.34176780375,2011,0.08365685956749984,0
11,0.07110694183865,0.4108817875385,0.0,355.3333333333,0.118186724231,1.393523564223,2011,0.08365685956749984,0
12,0.03914022902196,0.3768537826836,0.0,355.1333333333,0.07359946326736,0.8972541143178,2011,0.08365685956749984,0
1,0.02330207445297,0.2420195005834,0.0,351.9,0.06486668916639,1.597924709728,2012,0.08365685956749984,0
2,0.03116609129267,0.4200230240822,0.0,347.6,0.06467493930402,1.9495098207,2012,0.08365685956749984,0
3,0.04417904650937,0.7088066637516,0.0,343.3,0.09527036183765,2.921768359109,2012,0.08365685956749984,0
4,0.06349518380185,0.7892667204142,0.0,339.1333333333,0.1203834987509,4.984636378767,2012,0.08365685956749984,0
5,0.1122941930395,1.65532886982,0.0,338.1,0.1830663615561,4.544054456294,2012,0.08365685956749984,0
6,0.1063871666175,1.22133654356,0.0,338.7,0.1804273101031,2.778884155611,2012,0.08365685956749984,0
7,0.09708929452393,0.9003452956676,0.0,337.8333333333,0.1737120653849,1.97621316882,2012,0.08365685956749984,0
8,0.06832237165014,0.3224698193371,0.0,339.5666666667,0.1503118921457,0.9058495494689,2012,0.08365685956749984,0
9,0.04399761098945,0.181664340198,0.0,334.8666666667,0.1108500067141,1.088380694819,2012,0.08365685956749984,0
10,0.03490718321227,0.4050645641983,0.0,330.4,0.08314320225473,1.490818315479,2012,0.08365685956749984,0
11,0.02197030497592,0.1464686989784,0.0,332.2666666667,0.07358729735139,1.531767673948,2012,0.08365685956749984,0
12,0.03947236934146,0.6565403938293,0.0,333.5666666667,0.08663999475307,1.543867133745,2012,0.08365685956749984,0
1,0.03295706510784,0.2207216396928,0.0,330.7333333333,0.08195542774982,1.920357233382,2013,0.08365685956749984,0
2,0.04764333809427,0.6330340616405,0.0,326.7333333333,0.09108122225124,3.376828023556,2013,0.08365685956749984,0
3,0.06135350813556,0.9078660607338,0.0,321.6333333333,0.1263425112283,3.879703732022,2013,0.08365685956749984,0
4,0.09609984399376,1.328653208911,0.0,320.5,0.1620517476169,4.696734250507,2013,0.08365685956749984,0
5,0.108170552405,1.073303937912,0.0,317.4,0.1962550672415,2.920200992737,2013,0.08365685956749984,0
6,0.09961767204758,0.891567543149,0.0,313.8666666667,0.1928479381443,2.290009636155,2013,0.08365685956749984,0
7,0.08804763930242,0.7374521419406,0.0,313.4666666667,0.1704715447154,1.137731568491,2013,0.08365685956749984,0
8,0.07845000527927,0.462464377284,0.038538698107,315.7,0.1311701081613,0.7970390384059,2013,0.08365685956749984,0
9,0.04542101380546,0.03846559301019,0.0,316.3,0.08622158160257,0.5465907035356,2013,0.08365685956749984,0
10,0.03278861360042,0.1924090646207,0.0,316.1666666667,0.06505771248688,0.3623202773439,2013,0.08365685956749984,0
11,0.01847769028871,0.153280839324,0.0,317.5,0.04215763288819,0.4888732456533,2013,0.08365685956749984,0
12,0.01387711864407,0.1933262683451,0.0,314.6666666667,0.038231229848,0.4767239057618,2013,0.08365685956749984,0
1,0.009736785790713,0.1171624213457,0.0,311.5333333333,0.02495708437871,0.1973595182166,2014,0.08365685956749984,0
2,0.008536848930192,0.0,0.0,308.4666666667,0.01291353258337,0.2807369314994,2014,0.08365685956749984,0
3,0.009010989010989,0.1203296743333,0.0,303.3333333333,0.01268007700989,0.248729896543,2014,0.08365685956749984,0
4,0.002894033837934,0.0,0.0,299.4666666667,0.01108235450262,0.03188998488719,2014,0.08365685956749984,0
5,0.001673360107095,0.0,0.0,298.8,0.009109512179022,0.006363319386332,2014,0.08365685956749984,0
6,0.001217622315696,0.0,0.0,301.1333333333,0.005569183849367,0.02545661048498,2014,0.08365685956749984,0
7,0.008199483320229,0.2049870789051,0.0,296.7666666667,0.009337068160598,0.0,2014,0.08365685956749984,0
8,0.007135689597503,0.0,0.0,298.9666666667,0.009302325581395,0.006393413907865,2014,0.08365685956749984,0
9,0.009817045961624,0.04071842879057,0.0,298.8,0.009130580731789,0.0,2014,0.08365685956749984,0
10,0.001102900628653,0.0,0.0,302.2333333333,0.0007444000812073,0.006393413907865,2014,0.08365685956749984,0
11,0.0,0.0,0.0,300.8,0.0008843537414966,0.01278011204482,2014,0.08365685956749984,0
12,0.0,0.0,0.0,297.2666666667,0.0,0.0,2014,0.08365685956749984,0
1,0.0,0.0,0.0,347.0333333333,0.0,0.0,2011,0.013865109906787925,0
2,0.0,0.0,0.0,355.4,0.0,0.0,2011,0.013865109906787925,0
3,0.0,0.0,0.0,352.2333333333,0.0,0.0,2011,0.013865109906787925,0
4,0.0,0.0,0.0,349.6666666667,0.0,0.0,2011,0.013865109906787925,0
