year,PfPR,Cases,Severe cases,Pop,agebin,pfpr2to10,x_Temporary_Larval_Habitat,Run_Number
2011,0.00184403859204,0.0188460748177,0.0,371.4301369863,5,0.001801453319703,0.013865109906787925,0
2012,0.0,0.0,0.0,367.2246575342,5,0.001263146332757,0.013865109906787925,0
2013,0.0006348921803691,0.008178905351087,0.0,366.797260274,5,0.001049843589293,0.013865109906787925,0
2011,0.00203939799805,0.01292968232883,0.0,1624.169863014,100,0.001801453319703,0.013865109906787925,0
2012,0.001580242605823,0.01040913473116,0.0,1633.180821918,100,0.001263146332757,0.013865109906787925,0
2013,0.001311664962338,0.007318588905036,0.0,1639.660273973,100,0.001049843589293,0.013865109906787925,0
2011,0.2304075838136,2.283338770503,0.005617069546133,356.0575342466,5,0.3499872897513,0.09850612054411158,0
2012,0.06079328510899,0.638019365957,0.00294018140994,340.1150684932,5,0.1255560545789,0.09850612054411158,0
2013,0.03705713557469,0.345123866573,0.0,333.2136986301,5,0.07845707637603,0.09850612054411158,0
2011,0.3393822603141,1.322796112276,0.001199271180667,1667.679452055,100,0.3499872897513,0.09850612054411158,0
2012,0.1541640416649,0.6052573942579,0.0005957257817499,1678.624657534,100,0.1255560545789,0.09850612054411158,0
2013,0.1022923378522,0.3884035565425,0.0,1681.24109589,100,0.07845707637603,0.09850612054411158,0
2011,0.001396489903755,0.01102094724774,0.0,362.9452054795,5,0.001148388585332,0.026654463749849287,0
2012,0.0006520671995545,0.005348416510969,0.0,373.9424657534,5,0.002043596730245,0.026654463749849287,0
2013,0.00152625824583,0.01071315910667,0.0,373.3726027397,5,0.0008965959407746,0.026654463749849287,0
2011,0.001059303787657,0.006286925054155,0.0,1590.602739726,100,0.001148388585332,0.026654463749849287,0
2012,0.001111730657354,0.007561149308458,0.0,1587.060273973,100,0.002043596730245,0.026654463749849287,0
2013,0.000925384430149,0.008789432351477,0.0006278165965341,1592.821917808,100,0.0008965959407746,0.026654463749849287,0
2011,0.1428274396254,1.408213707386,0.00562161160633,355.7698630137,5,0.2523713987641,0.060336239762905926,0
2012,0.04033142536925,0.4090781603009,0.0,342.2328767123,5,0.1023386140748,0.060336239762905926,0
2013,0.02722778325284,0.2616082485765,0.0,336.3808219178,5,0.05262325997144,0.060336239762905926,0
2011,0.294092659056,1.350282806437,0.003662611590698,1638.175342466,100,0.2523713987641,0.060336239762905926,0
2012,0.143411770987,0.608361731458,0.0006089707021601,1642.115068493,100,0.1023386140748,0.060336239762905926,0
2013,0.08305256681024,0.3435551277362,0.001213975716382,1647.479452055,100,0.05262325997144,0.060336239762905926,0
2011,0.384731875279,3.435766339069,0.02909200964496,343.7369863014,5,0.511438950509,0.36404618287268703,0
2012,0.3019603492813,2.857482463121,0.01735313236713,345.7589041096,5,0.4452189090909,0.36404618287268703,0
2013,0.2816707046472,2.615748955403,0.00286186975427,349.4219178082,5,0.4007526956201,0.36404618287268703,0
2011,0.3838922291096,1.042642139131,0.0,1647.736986301,100,0.511438950509,0.36404618287268703,0
2012,0.3564922361128,0.9640701211174,0.0,1644.071232877,100,0.4452189090909,0.36404618287268703,0
2013,0.3131465358099,0.8055055563455,0.001837655261625,1632.515068493,100,0.4007526956201,0.36404618287268703,0
2011,0.3048806982058,2.849233985879,0.03281267546117,365.7123287671,5,0.4297147218566,0.18936941984829694,0
